experiment_name,version,attack,0,0,mean_score,mean_score
,,,mean,std,mean,std
Experiment A,Pen Mentioned Not Removed,antonym_replacement,3.5185185185185186,0.27962349760262023,3.5185185185185186,0.27962349760262023
Experiment A,Pen Mentioned Not Removed,caesar_cipher,2.814814814814815,0.2566001196398338,2.814814814814815,0.2566001196398338
Experiment A,Pen Mentioned Not Removed,change_character_names,3.6296296296296298,0.16972502573910517,3.6296296296296298,0.16972502573910517
Experiment A,Pen Mentioned Not Removed,context_removal,3.7407407407407405,0.320750149549792,3.7407407407407405,0.320750149549792
Experiment A,Pen Mentioned Not Removed,control,3.233333333333333,0.30550504633038944,3.233333333333333,0.30550504633038944
Experiment A,Pen Mentioned Not Removed,distraction_insertion,3.0,0.11111111111111105,3.0,0.11111111111111105
Experiment A,Pen Mentioned Not Removed,introduce_typos,3.592592592592593,0.25660011963983353,3.592592592592593,0.25660011963983353
Experiment A,Pen Mentioned Not Removed,shuffle_sentences,4.185185185185185,0.06415002990995897,4.185185185185185,0.06415002990995897
Experiment A,Pen Mentioned Not Removed,swap_words,3.592592592592592,0.06415002990995838,3.592592592592592,0.06415002990995838
Experiment A,Pen Mentioned Not Removed,synonym_replacement,3.074074074074074,0.44905020936970896,3.074074074074074,0.44905020936970896
Experiment A,Pen Mentioned Not Removed,word_swap_embedding,3.888888888888889,0.0,3.888888888888889,0.0
Experiment A,Pen Mentioned Not Removed,word_swap_homoglyph,3.407407407407407,0.25660011963983376,3.407407407407407,0.25660011963983376
Experiment A,Pen Mentioned Removed,antonym_replacement,3.2962962962962963,0.35717225040714656,3.2962962962962963,0.35717225040714656
Experiment A,Pen Mentioned Removed,caesar_cipher,3.185185185185185,0.4490502093697091,3.185185185185185,0.4490502093697091
Experiment A,Pen Mentioned Removed,change_character_names,3.6666666666666665,0.1924500897298753,3.6666666666666665,0.1924500897298753
Experiment A,Pen Mentioned Removed,context_removal,3.0,0.2939723678960656,3.0,0.2939723678960656
Experiment A,Pen Mentioned Removed,control,2.9,0.17320508075688756,2.9,0.17320508075688756
Experiment A,Pen Mentioned Removed,distraction_insertion,3.185185185185185,0.2566001196398338,3.185185185185185,0.2566001196398338
Experiment A,Pen Mentioned Removed,introduce_typos,3.111111111111111,0.0,3.111111111111111,0.0
Experiment A,Pen Mentioned Removed,shuffle_sentences,3.7777777777777772,0.19245008972987535,3.7777777777777772,0.19245008972987535
Experiment A,Pen Mentioned Removed,swap_words,3.6296296296296298,0.12830005981991688,3.6296296296296298,0.12830005981991688
Experiment A,Pen Mentioned Removed,synonym_replacement,3.444444444444444,0.1924500897298751,3.444444444444444,0.1924500897298751
